name,1_rating,2_rating,3_rating,mean_rating
content_50___style_19___700.jpg,6,9,5,6.666666666666666
content_50___style_45___500.jpg,5,7,5,5.666666666666666
content_50___style_37___150.jpg,7,4,6,5.666666666666666
content_50___style_49___700.jpg,7,8,4,6.333333333333333
content_50___style_4___300.jpg,5,6,4,5.0
content_50___style_27___500.jpg,3,8,9,6.666666666666666
content_50___style_40___700.jpg,5,6,4,5.0
content_50___style_18___150.jpg,8,5,6,6.333333333333333
content_50___style_36___300.jpg,8,7,6,7.0
content_50___style_9___150.jpg,6,7,6,6.333333333333333
content_50___style_17___700.jpg,5,4,5,4.666666666666666
content_50___style_37___700.jpg,4,6,6,5.333333333333333
content_50___style_36___500.jpg,8,8,6,7.333333333333333
content_50___style_42___700.jpg,9,5,6,6.666666666666666
content_50___style_45___300.jpg,9,7,6,7.333333333333333
content_50___style_12___700.jpg,7,5,6,6.0
content_50___style_47___700.jpg,8,6,7,7.0
content_50___style_19___150.jpg,9,7,8,8.0
content_50___style_22___150.jpg,7,8,3,6.0
content_50___style_48___300.jpg,5,6,5,5.333333333333333
content_50___style_32___150.jpg,6,7,7,6.666666666666666
content_50___style_40___500.jpg,4,5,6,5.0
content_50___style_18___500.jpg,8,5,6,6.333333333333333
content_50___style_21___500.jpg,5,8,9,7.333333333333333
content_50___style_45___150.jpg,7,6,6,6.333333333333333
content_50___style_13___150.jpg,10,7,6,7.666666666666666
content_50___style_11___150.jpg,2,4,6,4.0
content_50___style_44___700.jpg,2,2,2,2.0
content_50___style_36___700.jpg,5,9,5,6.333333333333333
content_50___style_40___150.jpg,3,3,7,4.333333333333333
content_50___style_40___300.jpg,5,3,6,4.666666666666666
content_50___style_8___500.jpg,4,7,5,5.333333333333333
content_50___style_39___700.jpg,8,5,4,5.666666666666666
content_50___style_38___700.jpg,1,2,2,1.6666666666666665
content_50___style_1___300.jpg,3,8,5,5.333333333333333
content_50___style_24___300.jpg,5,4,7,5.333333333333333
content_50___style_33___700.jpg,2,7,2,3.6666666666666665
content_50___style_32___300.jpg,5,6,6,5.666666666666666
content_50___style_16___700.jpg,4,2,5,3.6666666666666665
content_50___style_44___500.jpg,2,2,4,2.6666666666666665
content_50___style_49___300.jpg,6,7,4,5.666666666666666
content_50___style_5___700.jpg,1,4,4,3.0
content_50___style_6___500.jpg,6,8,6,6.666666666666666
content_50___style_20___700.jpg,3,4,3,3.333333333333333
content_50___style_16___150.jpg,4,3,3,3.333333333333333
content_50___style_29___500.jpg,5,5,5,5.0
content_50___style_37___300.jpg,7,5,6,6.0
content_50___style_2___700.jpg,5,7,4,5.333333333333333
content_50___style_26___150.jpg,7,4,5,5.333333333333333
content_50___style_48___500.jpg,6,5,5,5.333333333333333
content_50___style_11___300.jpg,3,8,4,5.0
content_50___style_35___500.jpg,8,5,6,6.333333333333333
content_50___style_3___150.jpg,9,8,5,7.333333333333333
content_50___style_19___500.jpg,4,5,5,4.666666666666666
content_50___style_44___300.jpg,9,6,6,7.0
content_50___style_16___300.jpg,3,3,1,2.333333333333333
content_50___style_41___150.jpg,7,3,7,5.666666666666666
content_50___style_25___300.jpg,8,6,7,7.0
content_50___style_13___700.jpg,6,7,5,6.0
content_50___style_5___300.jpg,4,6,4,4.666666666666666
content_50___style_10___500.jpg,5,6,6,5.666666666666666
content_50___style_8___150.jpg,3,5,4,4.0
content_50___style_41___300.jpg,6,7,9,7.333333333333333
content_50___style_15___500.jpg,4,5,3,4.0
content_50___style_28___300.jpg,7,5,5,5.666666666666666
content_50___style_2___300.jpg,5,9,8,7.333333333333333
content_50___style_2___150.jpg,6,6,8,6.666666666666666
content_50___style_17___150.jpg,6,6,4,5.333333333333333
content_50___style_22___300.jpg,4,10,4,6.0
content_50___style_50___500.jpg,9,5,7,7.0
content_50___style_47___500.jpg,9,5,7,7.0
content_50___style_45___700.jpg,7,6,6,6.333333333333333
content_50___style_3___700.jpg,7,5,7,6.333333333333333
content_50___style_46___150.jpg,8,8,4,6.666666666666666
content_50___style_19___300.jpg,6,8,7,7.0
content_50___style_1___150.jpg,3,4,5,4.0
content_50___style_43___700.jpg,5,10,6,7.0
content_50___style_31___700.jpg,4,7,6,5.666666666666666
content_50___style_41___500.jpg,6,6,7,6.333333333333333
content_50___style_30___300.jpg,9,6,6,7.0
content_50___style_13___300.jpg,10,7,6,7.666666666666666
content_50___style_18___300.jpg,7,8,5,6.666666666666666
content_50___style_48___700.jpg,5,5,5,5.0
content_50___style_15___700.jpg,4,5,4,4.333333333333333
content_50___style_30___500.jpg,8,8,6,7.333333333333333
content_50___style_50___300.jpg,7,7,6,6.666666666666666
content_50___style_9___500.jpg,10,10,6,8.666666666666666
content_50___style_16___500.jpg,4,2,4,3.333333333333333
content_50___style_35___150.jpg,8,6,6,6.666666666666666
content_50___style_6___300.jpg,6,7,6,6.333333333333333
content_50___style_47___300.jpg,3,5,6,4.666666666666666
content_50___style_7___300.jpg,1,1,1,1.0
content_50___style_4___150.jpg,2,5,3,3.333333333333333
content_50___style_42___500.jpg,8,8,5,7.0
content_50___style_7___150.jpg,2,3,1,2.0
content_50___style_23___500.jpg,5,5,5,5.0
content_50___style_26___300.jpg,6,5,8,6.333333333333333
content_50___style_31___500.jpg,6,6,5,5.666666666666666
content_50___style_15___150.jpg,4,4,4,4.0
content_50___style_10___150.jpg,4,5,5,4.666666666666666
content_50___style_39___150.jpg,5,7,5,5.666666666666666
content_50___style_25___700.jpg,7,7,4,6.0
content_50___style_28___500.jpg,5,6,8,6.333333333333333
content_50___style_25___150.jpg,3,7,8,6.0
content_50___style_27___300.jpg,5,8,6,6.333333333333333
content_50___style_21___150.jpg,4,4,4,4.0
content_50___style_31___300.jpg,7,4,7,6.0
content_50___style_7___700.jpg,1,3,1,1.6666666666666665
content_50___style_24___150.jpg,3,3,8,4.666666666666666
content_50___style_14___500.jpg,6,8,5,6.333333333333333
content_50___style_11___500.jpg,4,6,8,6.0
content_50___style_2___500.jpg,5,6,7,6.0
content_50___style_4___700.jpg,4,9,6,6.333333333333333
content_50___style_18___700.jpg,3,9,3,5.0
content_50___style_12___500.jpg,4,5,6,5.0
content_50___style_37___500.jpg,4,6,6,5.333333333333333
content_50___style_6___150.jpg,3,6,6,5.0
content_50___style_11___700.jpg,6,5,5,5.333333333333333
content_50___style_41___700.jpg,6,7,9,7.333333333333333
content_50___style_48___150.jpg,8,5,6,6.333333333333333
content_50___style_20___150.jpg,2,4,4,3.333333333333333
content_50___style_34___150.jpg,3,6,6,5.0
content_50___style_35___700.jpg,5,8,5,6.0
content_50___style_29___150.jpg,4,6,7,5.666666666666666
content_50___style_1___700.jpg,9,10,6,8.333333333333332
content_50___style_27___150.jpg,4,6,8,6.0
content_50___style_38___300.jpg,1,4,2,2.333333333333333
content_50___style_5___150.jpg,6,6,3,5.0
content_50___style_38___500.jpg,1,6,2,3.0
content_50___style_23___300.jpg,5,8,5,6.0
content_50___style_42___300.jpg,6,7,6,6.333333333333333
content_50___style_8___700.jpg,4,5,5,4.666666666666666
content_50___style_17___300.jpg,7,6,6,6.333333333333333
content_50___style_14___700.jpg,5,7,5,5.666666666666666
content_50___style_24___500.jpg,4,7,7,6.0
content_50___style_13___500.jpg,8,5,6,6.333333333333333
content_50___style_6___700.jpg,6,6,6,6.0
content_50___style_12___300.jpg,3,7,8,6.0
content_50___style_27___700.jpg,4,8,7,6.333333333333333
content_50___style_22___700.jpg,5,9,5,6.333333333333333
content_50___style_28___700.jpg,5,6,7,6.0
content_50___style_34___300.jpg,4,7,5,5.333333333333333
content_50___style_17___500.jpg,5,7,5,5.666666666666666
content_50___style_26___700.jpg,5,10,6,7.0
content_50___style_31___150.jpg,4,4,8,5.333333333333333
content_50___style_32___500.jpg,7,5,6,6.0
content_50___style_49___500.jpg,2,4,7,4.333333333333333
